axis	diff_a_b	p
('listed', 'unlisted')	0.001486213583962866	0.0
('lined', 'unlined')	0.0014859683793905232	0.0
('unworldly', 'worldly')	0.0014844515554211547	0.0
('crowned', 'uncrowned')	0.0014838288264530392	0.0
('blended', 'unblended')	0.0014691528482205472	0.002
('sworn', 'unsworn')	0.0014596348321009919	0.0
('grassless', 'grassy')	0.0014589690620022237	0.001
('staged', 'unstaged')	0.0014576582239545447	0.0
('migratory', 'nonmigratory')	0.0014462370662326057	0.0
('intellectual', 'nonintellectual')	0.00144444996945646	0.032
('ceilinged', 'floored')	0.0014443184946723933	0.001
('adjusted', 'unadjusted')	0.0014366929759312506	0.0
('juiceless', 'juicy')	0.0014315379461606655	0.007
('unwrapped', 'wrapped')	0.001426120089623081	0.0
('stimulating', 'unstimulating')	0.001421032945712759	0.009
('made', 'unmade')	0.0014097856226255208	0.006
('active', 'stative')	0.0014011830100804923	0.018
('sure', 'unsure')	0.0014002849350324992	0.0
('classical', 'nonclassical')	0.0013973357665675885	0.01
('mechanical', 'nonmechanical')	0.0013941866224592772	0.025
('styleless', 'stylish')	0.0013831928344387838	0.036
('mined', 'unmined')	0.001382150388756805	0.001
('awed', 'unawed')	0.0013785945756569374	0.0
('military', 'unmilitary')	0.0013770012097409565	0.028
('stratified', 'unstratified')	0.0013742958334412372	0.0
('nonrepetitive', 'repetitive')	0.0013674503845126432	0.018
('nonproprietary', 'proprietary')	0.0013673134842604184	0.003
('unvaried', 'varied')	0.0013641216846915667	0.005
('musical', 'unmusical')	0.0013495538797874199	0.033
('alike', 'unalike')	0.0013477097950937798	0.003
('explicable', 'inexplicable')	0.00134735606252453	0.0
('colored', 'uncolored')	0.0013439830030123699	0.0
('frequent', 'infrequent')	0.0013396047973137162	0.001
('feathered', 'unfeathered')	0.0013309999778421903	0.0
('atypical', 'typical')	0.001329030391243968	0.0
('carved', 'uncarved')	0.0013261151229507738	0.0
('adhesive', 'nonadhesive')	0.001323732959604326	0.001
('designed', 'undesigned')	0.001322591055218975	0.018
('processed', 'unprocessed')	0.0013185959451720627	0.0
('dry', 'sweet')	0.001309107359156212	0.002
('selected', 'unselected')	0.0012973233650090295	0.005
('deniable', 'undeniable')	0.0012936584093348486	0.0
('shaded', 'unshaded')	0.0012921518289319405	0.005
('backward', 'forward')	0.0012912185470142223	0.0
('careful', 'careless')	0.0012777216178540985	0.0
('seasoned', 'unseasoned')	0.0012776344446753154	0.003
('corrigible', 'incorrigible')	0.0012723358117064393	0.0
('rigged', 'unrigged')	0.0012658339291447048	0.005
('abused', 'unabused')	0.0012603590395264958	0.031
('reflected', 'unreflected')	0.0012600792409906136	0.024
('labeled', 'unlabeled')	0.0012587272457627707	0.0
('ambitious', 'unambitious')	0.001256632868652319	0.012
('dissuasive', 'persuasive')	0.0012453571784423485	0.0
('dissimilar', 'similar')	0.0012431646897910226	0.001
('irreparable', 'reparable')	0.0012408502937229192	0.0
('extended', 'unextended')	0.001240770534534679	0.039
('curtained', 'curtainless')	0.001235399129567421	0.0
('insentient', 'sentient')	0.0012201583675499894	0.002
('solved', 'unsolved')	0.0012193814936855224	0.0
('restrictive', 'unrestrictive')	0.001217315135434948	0.002
('native', 'nonnative')	0.0012165515035490564	0.002
('past', 'present')	0.0012119887140492266	0.0
('reactive', 'unreactive')	0.0012116461849575703	0.003
('integrated', 'nonintegrated')	0.0012082003584130384	0.028
('nonspecific', 'specific')	0.0011939294334791725	0.022
('constant', 'inconstant')	0.0011894308763811846	0.029
('agitated', 'unagitated')	0.001186080785477035	0.009
('fraternal', 'identical')	0.0011836261632685273	0.0
('drained', 'undrained')	0.0011787758959352895	0.001
('rewarding', 'unrewarding')	0.0011751661371471218	0.04
('fledged', 'unfledged')	0.0011751639446884645	0.0
('tied', 'untied')	0.0011745795351613911	0.001
('reserved', 'unreserved')	0.0011694361771170557	0.0
('advisable', 'inadvisable')	0.0011639649524738203	0.006
('credible', 'incredible')	0.0011626104003763637	0.02
('requested', 'unrequested')	0.0011616965867919868	0.008
('corrected', 'uncorrected')	0.001157205747768503	0.0
('competitive', 'noncompetitive')	0.0011554586249961502	0.027
('dramatic', 'lyric')	0.0011545800895954705	0.0
('clement', 'inclement')	0.0011522463805817285	0.0
('lowborn', 'noble')	0.001149152957551594	0.039
('concealed', 'unconcealed')	0.001148754661800984	0.012
('illicit', 'licit')	0.00114348371703762	0.0
('banded', 'unbanded')	0.0011398526941701174	0.002
('crystalline', 'noncrystalline')	0.0011371814106973799	0.013
('biennial', 'perennial')	0.00113611128334169	0.0
('found', 'lost')	0.0011265696733262793	0.0
('offending', 'unoffending')	0.0011168290365145845	0.006
('frozen', 'unfrozen')	0.0011165750527900292	0.023
('displeased', 'pleased')	0.0011115935281560754	0.011
('enforced', 'unenforced')	0.0011076182968775775	0.01
('handled', 'handleless')	0.0011075268618474382	0.043
('financial', 'nonfinancial')	0.0011051216904976978	0.033
('silenced', 'unsilenced')	0.0010999707463766571	0.015
('controversial', 'uncontroversial')	0.0010993917492852449	0.005
('round', 'square')	0.0010988537798528337	0.0
('noticed', 'unnoticed')	0.00109798959001778	0.0
('collected', 'uncollected')	0.0010938791927981844	0.001
('annual', 'biennial')	0.001084318180781349	0.004
('enthusiastic', 'unenthusiastic')	0.0010743257533557815	0.036
('analyzed', 'unanalyzed')	0.001073142771966103	0.018
('unwary', 'wary')	0.0010658090431475533	0.0
('emotional', 'unemotional')	0.001064097330641011	0.013
('glad', 'sad')	0.0010557895305964042	0.004
('nonresidential', 'residential')	0.0010536257272369207	0.011
('inviolable', 'violable')	0.001047273587420139	0.0
('tanned', 'untanned')	0.0010419276879064486	0.01
('awakened', 'unawakened')	0.0010409597386023053	0.005
('derived', 'underived')	0.0010303716125145534	0.015
('due', 'undue')	0.001028451329819156	0.002
('noticeable', 'unnoticeable')	0.0010203471132915441	0.019
('effortful', 'effortless')	0.0010173333958264311	0.002
('unwaxed', 'waxed')	0.0010116195965548134	0.0
('specialized', 'unspecialized')	0.0010095539660608163	0.035
('antonymous', 'synonymous')	0.0010043165740942252	0.05
('breasted', 'breastless')	0.000999706260428796	0.002
('horned', 'hornless')	0.0009980433063204956	0.0
('dimmed', 'undimmed')	0.000996407468904106	0.001
('extraterritorial', 'territorial')	0.0009930681654311815	0.0
('traveled', 'untraveled')	0.0009911347862282	0.023
('nonspherical', 'spherical')	0.0009895220536744204	0.007
('magnetic', 'nonmagnetic')	0.000984386343672707	0.015
('efficacious', 'inefficacious')	0.0009836613469405564	0.014
('anterograde', 'retrograde')	0.000982739208303762	0.0
('posed', 'unposed')	0.000979288544867835	0.012
('accommodating', 'unaccommodating')	0.000979115246910271	0.049
('spirited', 'spiritless')	0.0009787512552597404	0.017
('collective', 'distributive')	0.0009762536245252855	0.003
('caducous', 'persistent')	0.0009732136161042706	0.022
('nonstandard', 'standard')	0.0009681438780154445	0.039
('affected', 'unaffected')	0.0009676418729088788	0.002
('questionable', 'unquestionable')	0.0009666274210705789	0.001
('distinct', 'indistinct')	0.0009640140093098524	0.008
('lubricated', 'unlubricated')	0.0009639763948238161	0.001
('conditional', 'unconditional')	0.0009560378939267224	0.0
('industrial', 'nonindustrial')	0.0009560351378433436	0.041
('offstage', 'onstage')	0.0009549926425298071	0.0
('tempered', 'untempered')	0.0009543112209417981	0.004
('absorbent', 'nonabsorbent')	0.0009531365703141451	0.0
('beseeching', 'imperative')	0.0009507994732045194	0.006
('dominant', 'recessive')	0.0009493616564215327	0.0
('shapely', 'unshapely')	0.0009473535613161999	0.014
('subsurface', 'surface')	0.0009429874729004369	0.005
('center', 'left')	0.0009397712051912588	0.0
('fractional', 'whole')	0.000938232059242209	0.003
('even', 'uneven')	0.0009357878772479292	0.006
('finished', 'unfinished')	0.0009354826109332984	0.0
('impermanent', 'permanent')	0.0009272660095942208	0.022
('anestrous', 'estrous')	0.0009259115485598761	0.0
('suspected', 'unsuspected')	0.0009240306347972991	0.007
('fixed', 'unfixed')	0.0009234350971275528	0.042
('immoderate', 'moderate')	0.0009225567210878454	0.022
('extrasensory', 'sensory')	0.0009190749431281361	0.0
('deaf', 'hearing')	0.0009181061956724645	0.0
('trimmed', 'untrimmed')	0.0009170139770153752	0.001
('painted', 'unpainted')	0.0009162686517539837	0.011
('crooked', 'straight')	0.000908326592471918	0.0
('sugarless', 'sugary')	0.0009036792194673888	0.001
('just', 'unjust')	0.0009015447180872362	0.013
('aligned', 'nonaligned')	0.000901112191907423	0.022
('stressed', 'unstressed')	0.0008958770722525024	0.018
('cultivated', 'uncultivated')	0.0008945875521911353	0.0
('free', 'unfree')	0.0008918425294935899	0.047
('saddled', 'unsaddled')	0.0008907632648764846	0.029
('settled', 'unsettled')	0.0008897985309924651	0.0
('laced', 'unlaced')	0.0008891565020289118	0.018
('downstage', 'upstage')	0.0008813745364454825	0.0
('humorless', 'humorous')	0.000880992022337445	0.0
('faceted', 'unfaceted')	0.0008790932980581251	0.0
('hierarchical', 'nonhierarchical')	0.0008779284824136646	0.019
('avirulent', 'virulent')	0.0008773444674225993	0.012
('scheduled', 'unscheduled')	0.0008747655081817775	0.007
('eyed', 'eyeless')	0.0008721179319475629	0.01
('handmade', 'machine-made')	0.0008702702311472656	0.004
('lamented', 'unlamented')	0.0008655161554881989	0.015
('consolable', 'inconsolable')	0.0008647562090578313	0.001
('carnivorous', 'insectivorous')	0.0008642956631932869	0.0
('shelled', 'unshelled')	0.000862453691302837	0.009
('institutional', 'noninstitutional')	0.0008612666123827099	0.015
('facultative', 'obligate')	0.0008599370868241666	0.0
('oiled', 'unoiled')	0.0008462833967323447	0.008
('effervescent', 'noneffervescent')	0.0008444168772905698	0.0
('continent', 'incontinent')	0.0008436019299581342	0.0
('discriminating', 'undiscriminating')	0.0008349096811165954	0.022
('ill', 'well')	0.0008316892315251827	0.006
('harmonic', 'nonharmonic')	0.0008237532661614887	0.032
('atomistic', 'holistic')	0.0008235128156245438	0.007
('married', 'unmarried')	0.0008216073589368926	0.0
('constricted', 'unconstricted')	0.0008180246672748245	0.017
('combed', 'uncombed')	0.000817713021173061	0.003
('alienable', 'inalienable')	0.000815196734515725	0.0
('bodied', 'unbodied')	0.0008118897303161614	0.002
('down', 'up')	0.0008046477277083054	0.0
('addressed', 'unaddressed')	0.0008044709900707873	0.028
('confirmed', 'unconfirmed')	0.0008042994323997615	0.002
('certain', 'uncertain')	0.0008038722191349504	0.0
('dejected', 'elated')	0.0008022504606926516	0.0
('branded', 'unbranded')	0.0008015582041586422	0.012
('joyless', 'joyous')	0.0008006515580133381	0.009
('fewer', 'more')	0.0007989462389252962	0.007
('modified', 'unmodified')	0.000793459408104275	0.002
('aesthetic', 'inaesthetic')	0.0007925593131028908	0.035
('impalpable', 'palpable')	0.0007922690697473797	0.007
('cerebral', 'emotional')	0.0007905696171602427	0.0
('nosed', 'noseless')	0.0007854053124297647	0.0
('occupied', 'unoccupied')	0.0007826802873265818	0.001
('esoteric', 'exoteric')	0.0007821683336412429	0.012
('melodious', 'unmelodious')	0.0007801655536966556	0.05
('consummated', 'unconsummated')	0.0007766977036105741	0.0
('carpeted', 'uncarpeted')	0.0007752808699453412	0.026
('repeatable', 'unrepeatable')	0.0007751228126899939	0.0
('antemortem', 'postmortem')	0.0007720753024929375	0.0
('off', 'on')	0.0007656151987960524	0.0
('normal', 'paranormal')	0.0007647309752491982	0.0
('sealed', 'unsealed')	0.0007644189369983932	0.003
('exhaustible', 'inexhaustible')	0.000763380866036235	0.0
('fatal', 'nonfatal')	0.0007625278522873351	0.004
('combustible', 'noncombustible')	0.000762173517790345	0.009
('critical', 'uncritical')	0.0007554665173937249	0.045
('unwomanly', 'womanly')	0.0007546529458609622	0.005
('confined', 'unconfined')	0.0007546008113816349	0.016
('toed', 'toeless')	0.0007511976919524783	0.0
('starless', 'starry')	0.0007479081769815191	0.002
('coordinating', 'subordinating')	0.0007431685126888712	0.02
('lucky', 'unlucky')	0.0007399291876644207	0.039
('excitable', 'unexcitable')	0.0007377154467994463	0.016
('complimentary', 'uncomplimentary')	0.0007326084516124827	0.036
